"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:24:34.073","05/28/2020-13:24:28.152599  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49730 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:24:32.138","05/28-13:24:27.783879  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49730 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:24:25.119","05/28-13:24:17.047834  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49729 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:24:19.019","05/28/2020-13:24:17.480930  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49729 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:24:12.015","05/28/2020-13:24:06.741714  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49728 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:24:10.115","05/28-13:24:06.453966  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49728 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:24:03.111","05/28-13:23:54.111967  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49727 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:23:56.908","05/28/2020-13:23:54.863852  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49727 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:23:49.905","05/28/2020-13:23:43.847547  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49724 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:23:48.109","05/28-13:23:43.565839  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49724 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:23:34.899","05/28/2020-13:23:32.262467  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49723 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:23:33.106","05/28-13:23:31.973272  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49723 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:23:27.880","05/28/2020-13:23:20.300903  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49722 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:23:26.104","05/28-13:23:19.324741  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49722 -> 58.158.177.102:80","/var/log/snort/alert.fast"
