"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:41:17.834","05/28-13:41:12.093049  [**] [1:2023883:2] ET DNS Query to a *.top domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:61462 -> 172.16.2.1:53","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:41:15.585","05/28/2020-13:41:12.093049  [**] [1:2023883:3] ET DNS Query to a *.top domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:61462 -> 172.16.2.1:53","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:40:02.823","05/28-13:39:59.444612  [**] [1:2012810:9] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50206 -> 195.20.40.139:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:40:02.823","05/28-13:39:59.632140  [**] [1:2029204:2] ET TROJAN Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50208 -> 37.46.135.58:443","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:40:00.578","05/28/2020-13:39:59.745908  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50208 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:39:59.578","05/28/2020-13:39:59.498117  [**] [1:2012810:11] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50206 -> 195.20.40.139:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:39:59.577","05/28/2020-13:39:58.657125  [**] [1:2012811:6] ET DNS Query to a .tk domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:58871 -> 172.16.2.1:53","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:39:59.577","05/28/2020-13:39:59.157502  [**] [1:2012811:6] ET DNS Query to a .tk domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:58871 -> 172.16.2.1:53","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:39:47.821","05/28-13:39:38.994202  [**] [1:2029204:2] ET TROJAN Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50204 -> 37.46.135.58:443","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:39:47.821","05/28-13:39:39.127491  [**] [1:2029205:2] ET TROJAN Malicious SSL Cert (Magecart) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 37.46.135.58:443 -> 172.16.2.2:50204","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:39:44.575","05/28/2020-13:39:39.128788  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50204 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:39:44.575","05/28/2020-13:39:39.265263  [**] [1:2029205:1] ET MALWARE Malicious SSL Cert (Magecart) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 37.46.135.58:443 -> 172.16.2.2:50204","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:32.770","05/28-13:38:25.683470  [**] [1:2029204:2] ET TROJAN Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50185 -> 37.46.135.58:443","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:32.770","05/28-13:38:25.682687  [**] [1:2012810:9] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50184 -> 195.20.40.139:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:29.552","05/28/2020-13:38:25.746734  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50185 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:29.552","05/28/2020-13:38:25.819282  [**] [1:2012810:11] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50184 -> 195.20.40.139:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:22.549","05/28/2020-13:38:21.797884  [**] [1:2012810:11] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50169 -> 195.20.40.139:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:17.767","05/28-13:38:14.887610  [**] [1:2029204:2] ET TROJAN Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50177 -> 37.46.135.58:443","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:17.767","05/28-13:38:14.874111  [**] [1:2012810:9] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50169 -> 195.20.40.139:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:15.531","05/28/2020-13:38:14.976033  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50177 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:14.766","05/28-13:38:13.964255  [**] [1:2012810:9] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50169 -> 195.20.40.139:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:14.766","05/28-13:38:14.125259  [**] [1:2029204:2] ET TROJAN Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50171 -> 37.46.135.58:443","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:38:14.530","05/28/2020-13:38:09.301440  [**] [1:2023883:3] ET DNS Query to a *.top domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:50267 -> 172.16.2.1:53","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:14.530","05/28/2020-13:38:10.951844  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50168 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:14.530","05/28/2020-13:38:11.223587  [**] [1:2012810:11] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50165 -> 195.20.40.139:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:14.530","05/28/2020-13:38:14.118521  [**] [1:2012810:11] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.16.2.2:50169 -> 195.20.40.139:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:14.530","05/28/2020-13:38:14.246371  [**] [1:2029204:1] ET MALWARE Observed Magecart CnC Domain in TLS SNI [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50171 -> 37.46.135.58:443","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:38:11.764","05/28-13:38:09.301440  [**] [1:2023883:2] ET DNS Query to a *.top domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.16.2.2:50267 -> 172.16.2.1:53","/var/log/snort/alert.fast"
