timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","full_log"
"May 23, 2020 @ 13:47:50.035",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '271f59daf9ca28fbeb0bd234897e1662'
New md5sum is : '7b0e21ee99623454e8d06871f064ed98'
Old sha1sum was: 'e8d6ecabf76ed97cd87dc8593f64cd69ec8ec7a2'
New sha1sum is : 'f63735bbc2e72216030f4e994b7c9785856a9170'
"
"May 23, 2020 @ 13:47:48.878",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : '4cea2c835f70071dc02ed62b073dfba8'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : '77e72a40def388a760e7dd5d34aee517e6c01817'
"
"May 23, 2020 @ 13:47:48.862",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : 'f09b8f706fbbdc831b56268167855de8'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : '765494a3d04df5b143fa79ecd655484a9d80378a'
"
"May 23, 2020 @ 13:46:42.124",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '85a6f1b1286ecf20e01235e2d33ec25a'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'dc139d9e9ad39ee0dadd9b4f52db078581cfb394'
"
"May 23, 2020 @ 13:46:42.065",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '611308539b0b432c267cdad008c8d152'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '946019a260c9ac9732156f3dfde8ab1a02093bbd'
"
"May 23, 2020 @ 13:46:42.048",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : 'aa153037b39970a484b4832b0ffe8501'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '18145d2068766fb817f5dc40a5c023c4b7d7cb8d'
"
"May 23, 2020 @ 13:46:41.975",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin\Aliases' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '611308539b0b432c267cdad008c8d152'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '946019a260c9ac9732156f3dfde8ab1a02093bbd'
"
"May 23, 2020 @ 13:46:41.641",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin\Aliases\Members' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '611308539b0b432c267cdad008c8d152'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '946019a260c9ac9732156f3dfde8ab1a02093bbd'
"
"May 23, 2020 @ 13:46:41.604",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-438079597-2123118846-2669748851' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '708111ebe998051bf46012611efd58c7'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '87407fbef078448a88fc7baf977bb2cc979eb369'
"
"May 23, 2020 @ 13:46:16.839",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,
"May 23, 2020 @ 13:46:09.098",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",,
"May 23, 2020 @ 13:44:39.392",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM' checksum changed.
Old md5sum was: '85a6f1b1286ecf20e01235e2d33ec25a'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: 'dc139d9e9ad39ee0dadd9b4f52db078581cfb394'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 23, 2020 @ 13:44:39.374",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains' checksum changed.
Old md5sum was: '611308539b0b432c267cdad008c8d152'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '946019a260c9ac9732156f3dfde8ab1a02093bbd'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 23, 2020 @ 13:44:39.370",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin' checksum changed.
Old md5sum was: 'aa153037b39970a484b4832b0ffe8501'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '18145d2068766fb817f5dc40a5c023c4b7d7cb8d'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 23, 2020 @ 13:44:39.359",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\SAM\Domains\Builtin\Aliases' checksum changed.
Old md5sum was: '611308539b0b432c267cdad008c8d152'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '946019a260c9ac9732156f3dfde8ab1a02093bbd'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
