timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 12:30:31.902",3,"Service startup type was changed",
"Apr 4, 2020 @ 12:29:21.055",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '73acbb9a6b37e06d3d01797d22daea0c'
New md5sum is : '0dc86d77d124bb6b155bb549028af3b4'
Old sha1sum was: '2c751e78055f27d77f2cd5500fea136989db0758'
New sha1sum is : 'c722c6e745e275c7f0d1d2539e58c03fd22195fa'
"
"Apr 4, 2020 @ 12:29:21.039",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '15a5122056556e452eb8a80f7bafc0ed'
New md5sum is : 'abdaf1142070594f55c16de20de0ecca'
Old sha1sum was: '6119a631079846a34ad70550b6245a827e56e943'
New sha1sum is : '7a54bab4683e307c96eebc64d5244ce6417b8b7c'
"
"Apr 4, 2020 @ 12:29:17.539",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a0e1' was added.
"
"Apr 4, 2020 @ 12:29:17.509",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:29:13.868",3,"Software Protection service scheduled successfully",
"Apr 4, 2020 @ 12:29:10.539",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: 'f7ede040f0bd50f2432cce9ba9720243'
New md5sum is : 'b4226e31c64aa3415f26064e055e68c3'
Old sha1sum was: '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
New sha1sum is : '46945000f0220428ef57f13d54c8a2ceaa305687'
"
"Apr 4, 2020 @ 12:29:10.508",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'b315409e33ad85f56aa7f98994a648f4'
New md5sum is : 'cf2fddc0383906c94bd746fc28f1c4d5'
Old sha1sum was: '264e0f23983367bd5365043fddede5f7f471ce68'
New sha1sum is : '2eaa7a7dac68d00dc822e249c351150d025f34a1'
"
"Apr 4, 2020 @ 12:29:10.492",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '2562a8b20783e33b22897206ebf502cf'
New md5sum is : 'd5462f300e2f617d362b4f3bb6d4ba99'
Old sha1sum was: 'ada72f790b4a65aa119002c7c3643cc502d4c463'
New sha1sum is : '00a49d93f252e8a492de34d56cc2b2ba1662a192'
"
"Apr 4, 2020 @ 12:29:09.680",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: '3626264b2bd01507a49b19e1aa64e7ea'
New md5sum is : '25d0183d5c5629974b3c23282c14f09e'
Old sha1sum was: '3e044f3ca69dee62e15813eba0c19ae98d413fa2'
New sha1sum is : 'aeeefb5382709b3ffe72b88e68a1fc2869bdb3b8'
"
"Apr 4, 2020 @ 12:29:08.368",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: 'd0b31528150e0bcaaf1ca31e909625ae'
New md5sum is : 'f831bbb4b4e3aa71d36063136978431b'
Old sha1sum was: '4ac9c45fb8b59e455e5cffb095693fd8ba73e2e9'
New sha1sum is : 'fb7819f8ec0c6d77e1fe97dbacc01e76e3e5be86'
"
