timestamp,"rule.level","rule.description","data.win.system.message","full_log"
"May 22, 2020 @ 15:34:48.419",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : '05688d3fb01c8753b031688cb1be8a9a'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : '07d2e2efcc0eef4f0950f87eb46ce7cb7d621014'
"
"May 22, 2020 @ 15:34:48.415",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : 'b9b17232ab989d43145b713d83b31e56'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : '59a9b4d3dd2bb5573d31e1aff08c6d38bf7d7d43'
"
"May 22, 2020 @ 15:34:46.106",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
"
"May 22, 2020 @ 15:34:31.496",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '44a185f2e5e0fa09edbcbe3e598fe4da'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
"
"May 22, 2020 @ 15:34:12.594",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility\{00080000-B1BA-11CE-ABC6-F5B2E79D9E3F}' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '47bd772cab29cc8ea332945ac72cdd4a'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '308d94b65326a36b3f8d9e5dcb729d52b07b5a23'
"
"May 22, 2020 @ 15:33:15.454",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,
"May 22, 2020 @ 15:33:08.077",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",
"May 22, 2020 @ 15:32:11.009",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: '497a8c7081c737f07c267a30b1538ff9'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 22, 2020 @ 15:32:10.978",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: '44a185f2e5e0fa09edbcbe3e598fe4da'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 22, 2020 @ 15:32:10.962",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility\{00080000-B1BA-11CE-ABC6-F5B2E79D9E3F}' checksum changed.
Old md5sum was: '47bd772cab29cc8ea332945ac72cdd4a'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '308d94b65326a36b3f8d9e5dcb729d52b07b5a23'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
