timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","full_log"
"May 24, 2020 @ 13:50:23.958",9,"Windows Application error event","""Faulting application name: winlogon.exe, version: 10.0.18362.693, time stamp: 0xeda872dc
Faulting module name: msvcrt.dll, version: 7.0.18362.1, time stamp: 0xf5bdefd7
Exception code: 0x40000015
Fault offset: 0x000000000000ae72
Faulting process id: 0x16d8
Faulting application start time: 0x01d631d221e1f41b
Faulting application path: C:\Windows\system32\winlogon.exe
Faulting module path: C:\Windows\System32\msvcrt.dll
Report Id: 75c957a2-0936-4aed-a78b-572b2d700cda
Faulting package full name: 
Faulting package-relative application ID: """,,
"May 24, 2020 @ 13:50:01.662",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : '01fd3d623cd1212dc2db7fb53f3f8706'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : '039037543a932327e95cb73b56beadf230ce75a6'
"
"May 24, 2020 @ 13:50:01.646",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : '4a4201336efd4dab88e86fa22c476f9b'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : '1cde5b8e975fa3bcd4307ab51c1b43564ca9d656'
"
"May 24, 2020 @ 13:50:00.271",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows' checksum changed.
Old md5sum was: '49574a9da5b73510ecb8125c7786d037'
New md5sum is : 'a94ecbd5eaeee72bd7ceca1faad96e30'
Old sha1sum was: 'fc3c9a4be6b806a974693af1dc528845db7631da'
New sha1sum is : '269518a35686493cde84837b1668ea322e4d3d13'
"
"May 24, 2020 @ 13:49:59.191",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
"
"May 24, 2020 @ 13:49:44.489",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '44a185f2e5e0fa09edbcbe3e598fe4da'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
"
"May 24, 2020 @ 13:49:16.254",9,"Windows Application error event","""Faulting application name: winlogon.exe, version: 10.0.18362.693, time stamp: 0xeda872dc
Faulting module name: msvcrt.dll, version: 7.0.18362.1, time stamp: 0xf5bdefd7
Exception code: 0x40000015
Fault offset: 0x000000000000ae72
Faulting process id: 0x244
Faulting application start time: 0x01d631d1f7428bc3
Faulting application path: C:\Windows\system32\winlogon.exe
Faulting module path: C:\Windows\System32\msvcrt.dll
Report Id: 70880634-b5f9-40da-bf1c-68260a77c44d
Faulting package full name: 
Faulting package-relative application ID: """,,
"May 24, 2020 @ 13:48:51.909",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows Defender' checksum changed.
Old md5sum was: '59cb747b331c527a030961483156cea0'
New md5sum is : 'bd77bf299c0366a5a3013dd7209f2afa'
Old sha1sum was: '797f0246bbcb2020cc30cde64c69b48810b0e47e'
New sha1sum is : '064e1756881953a404b3daf932947bef82ccadd4'
"
"May 24, 2020 @ 13:48:51.259",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows Defender' checksum changed.
Old md5sum was: '59cb747b331c527a030961483156cea0'
New md5sum is : 'bd77bf299c0366a5a3013dd7209f2afa'
Old sha1sum was: '797f0246bbcb2020cc30cde64c69b48810b0e47e'
New sha1sum is : '064e1756881953a404b3daf932947bef82ccadd4'
"
"May 24, 2020 @ 13:48:31.577",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,
