timestamp,"rule.level","rule.description","full_log","data.win.system.message"
"Apr 24, 2020 @ 12:53:49.260",5,"SCA summary: Benchmark for Windows audit: Score less than 80% (68)",,
"Apr 24, 2020 @ 12:53:46.185",5,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from failed to 'not applicable'",,
"Apr 24, 2020 @ 12:53:26.563",3,"Service startup type was changed",,"""The start type of the Windows Modules Installer service was changed from auto start to demand start."""
"Apr 24, 2020 @ 12:52:55.063",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '271f59daf9ca28fbeb0bd234897e1662'
New md5sum is : '1af7f0914012f801bdabc07119bd84db'
Old sha1sum was: 'e8d6ecabf76ed97cd87dc8593f64cd69ec8ec7a2'
New sha1sum is : '98d0a499a8ec59bdfd79d0750a971a939fa5e3a2'
",
"Apr 24, 2020 @ 12:52:52.018",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '47f9a8fc035cc80b23dfd8be4d23cda6'
New md5sum is : 'ae65b80d3aa8d32f38dfcf0fd6c6b1b0'
Old sha1sum was: '592c18db00c7cbd34e9537e069e1bf1ae084bc9d'
New sha1sum is : 'bab24ad7745b947cdd2101c926f3699e6f6cbe15'
",
"Apr 24, 2020 @ 12:52:52.006",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '480a7b1436febced63b663e198db057e'
New md5sum is : '6484aaf5ea7798f1bf32f0804fa1d0bb'
Old sha1sum was: 'a366c53c7d877bd13ac0386830dbad1b52127af9'
New sha1sum is : 'fc8cbbf8be08cb003f070ba6949ee1944ad70d2d'
",
"Apr 24, 2020 @ 12:52:47.703",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:47.672",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:46.672",3,"Windows Logon Success",,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x24c
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."""
"Apr 24, 2020 @ 12:52:46.622",3,"Windows Logon Success",,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x24c
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."""
"Apr 24, 2020 @ 12:52:39.718",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: 'f7ede040f0bd50f2432cce9ba9720243'
New md5sum is : '5de781a93c0a6c5d5144068810a7e1b5'
Old sha1sum was: '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
New sha1sum is : '09d2f3723a2d55175f72d45ef9f690a25bbba0c6'
",
"Apr 24, 2020 @ 12:52:39.687",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'fc7a35e4b9cb3f1aa594dae63bcb0752'
New md5sum is : '5400df8343e80773e4544cae1af1ce7d'
Old sha1sum was: '4428ae482d529a552955f4521ecc3337d5001df3'
New sha1sum is : 'ca45b55044bf31055c2a8596696e6d8e80b45a26'
",
"Apr 24, 2020 @ 12:52:39.671",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '3bed6b4b8101da842bb6afe04a8271c2'
New md5sum is : '3a5e7eeb22ae3b1256b5902f59ae2551'
Old sha1sum was: '6bcfa900864cb27898f9c3bf26b53fb3b0eb9d2c'
New sha1sum is : 'a526904a4da107a226b5f13e8a032015923e3231'
",
"Apr 24, 2020 @ 12:52:38.908",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: '7b25497674cc671619a3e52c5a6b72e8'
New md5sum is : 'ee77ddbee1ed560d6b349650e8349414'
Old sha1sum was: 'c42697f1b7d2dcbd8290e433e4dc2ca12090701a'
New sha1sum is : '6c5f559746b6a7a4faf287183a528aa3790a9772'
",
"Apr 24, 2020 @ 12:52:37.185",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: 'acae9dc748745942263a86d7eb614be0'
New md5sum is : '2e0f79c6fb4ff452e85cbf1a2d6ffc09'
Old sha1sum was: '426e630d1ce4b54eb126567e177155a4f7a507fa'
New sha1sum is : 'e00d4f56a725e171cace53875e2cb589d9ba1aaa'
",
"Apr 24, 2020 @ 12:52:36.899",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: '73ff3da5b491b534e4f1fca73d797712'
New md5sum is : 'bd63601b6f69031fc9053f7f5e9994b3'
Old sha1sum was: '4f491ce1ca6fff4e44240d89175bfd01ac0bfaf4'
New sha1sum is : '8919a69432dd58f4818fdb4b7f15495900ea20ed'
",
"Apr 24, 2020 @ 12:52:36.624",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:36.608",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:36.047",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: 'd73c739d94aff99e2de6c480608f2631'
New md5sum is : 'aca2086634cad666bcfa5ce02c60723b'
Old sha1sum was: 'e68a929ae8dc2dda3351cb8777f4c6a4351c08c7'
New sha1sum is : '01964f5117f31b451d06a4b44965af64482e8693'
",
"Apr 24, 2020 @ 12:52:35.874",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: '057b39f9a279a74ae6e39c10634a6eab'
New md5sum is : '671fdf6ae1d3621c0a477079b6ab0354'
Old sha1sum was: 'd9be4838d8b27777b7d1f01677d6ae2e41541245'
New sha1sum is : '14ea7fe43e6e733427540b1d51575677cb5e4c70'
",
"Apr 24, 2020 @ 12:52:35.439",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:35.407",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:35.234",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\umbus\Parameters\Wdf' checksum changed.
Old md5sum was: 'acae9dc748745942263a86d7eb614be0'
New md5sum is : '2e0f79c6fb4ff452e85cbf1a2d6ffc09'
Old sha1sum was: '426e630d1ce4b54eb126567e177155a4f7a507fa'
New sha1sum is : 'e00d4f56a725e171cace53875e2cb589d9ba1aaa'
",
"Apr 24, 2020 @ 12:52:34.093",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\TrustedInstaller' checksum changed.
Old md5sum was: 'f5ea91602eb594fc2b4973f59a513fcb'
New md5sum is : '06f5c6f330af834dd08ce904d9ae7cc8'
Old sha1sum was: '7d45a8c18f8a7d6091a33c6ba0252b375312ca0c'
New sha1sum is : '0cf4c4c19a1201e41b9deba273320298f4f97b50'
",
"Apr 24, 2020 @ 12:52:32.766",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{10cb9356-9dd8-4d03-959f-611e879a11a6}' checksum changed.
Old md5sum was: 'ae5aeacd0ec096e337ca3ae6a707a5ef'
New md5sum is : '5b5e36f557a71edd65caa6a11cda9191'
Old sha1sum was: 'cc73062438c2d276ae920c586c61e8046d7af96f'
New sha1sum is : '0763b6960462085ba4b95f8dd74de49818cad40f'
",
"Apr 24, 2020 @ 12:52:27.249",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\srvnet\Parameters' checksum changed.
Old md5sum was: '3d3a643354245020081ae89e531e5f43'
New md5sum is : 'b7992042185fc6ec85e366e31893c993'
Old sha1sum was: '388ea0001ce3a9c23720ba87edb0e1b1510b7b4e'
New sha1sum is : '7da8cd2c012f8b55d1d5ce23f9ccdf45379c55ad'
",
"Apr 24, 2020 @ 12:52:24.906",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: '5689c2dd6ed61a04cc389b6099c0aea5'
New md5sum is : '6fba24441f7c19e08b81d5840e9e62af'
Old sha1sum was: '64932df77c40a56e97edb3553ce359b3aaff132e'
New sha1sum is : '915cf0aee85628bc7ab27c3b65968f0090fc5e9a'
",
"Apr 24, 2020 @ 12:52:24.812",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch2' checksum changed.
Old md5sum was: '5de0ef21cee3c7b87f2fab30b8b06e2e'
New md5sum is : 'dc9f9e3fba782230828c1350ebdd6327'
Old sha1sum was: '95450da791d27d0a0e456663988211c24b30dbec'
New sha1sum is : 'df82c4e7b328c25ab2a829fbb36079904d347a00'
",
"Apr 24, 2020 @ 12:52:24.781",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: 'f93cf0221c7bffcbf0606d9f193a943e'
New md5sum is : '0447d0d52ee5a830c05fbee07043f258'
Old sha1sum was: '098e4d9f53900d4e8394afe508e54240c78b74ad'
New sha1sum is : 'c52421ca8edc9b41a95e22c437b67f0f199f288a'
",
"Apr 24, 2020 @ 12:52:21.346",9,"ATT&CK T1058:Registry edit for new service","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-04-24T12:52:17.711195500Z"",""eventRecordID"":""984"",""processID"":""2204"",""threadID"":""3084"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1031,T1050\r\nEventType: SetValue\r\nUtcTime: 2020-04-24 12:52:17.702\r\nProcessGuid: {df9fc3d3-e062-5ea2-0000-001053a80000}\r\nProcessId: 588\r\nImage: C:\\Windows\\system32\\services.exe\r\nTargetObject: HKLM\\System\\CurrentControlSet\\Services\\GoogleChromeElevationService\\ImagePath\r\nDetails: \""C:\\Program Files (x86)\\Google\\Chrome\\Application\\81.0.4044.122\\elevation_service.exe\""\""""},""eventdata"":{""ruleName"":""T1031,T1050"",""eventType"":""SetValue"",""utcTime"":""2020-04-24 12:52:17.702"",""processGuid"":""{df9fc3d3-e062-5ea2-0000-001053a80000}"",""processId"":""588"",""image"":""C:\\\\Windows\\\\system32\\\\services.exe"",""targetObject"":""HKLM\\\\System\\\\CurrentControlSet\\\\Services\\\\GoogleChromeElevationService\\\\ImagePath"",""details"":""\\\""C:\\\\Program Files (x86)\\\\Google\\\\Chrome\\\\Application\\\\81.0.4044.122\\\\elevation_service.exe\\\""""}}}","""Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2020-04-24 12:52:17.702
ProcessGuid: {df9fc3d3-e062-5ea2-0000-001053a80000}
ProcessId: 588
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\GoogleChromeElevationService\ImagePath
Details: ""C:\Program Files (x86)\Google\Chrome\Application\81.0.4044.122\elevation_service.exe"""""
"Apr 24, 2020 @ 12:52:21.326",9,"ATT&CK T1058:Registry edit for new service","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-04-24T12:52:17.710283000Z"",""eventRecordID"":""983"",""processID"":""2204"",""threadID"":""3084"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1031,T1050\r\nEventType: SetValue\r\nUtcTime: 2020-04-24 12:52:17.702\r\nProcessGuid: {df9fc3d3-e062-5ea2-0000-001053a80000}\r\nProcessId: 588\r\nImage: C:\\Windows\\system32\\services.exe\r\nTargetObject: HKLM\\System\\CurrentControlSet\\Services\\GoogleChromeElevationService\\Start\r\nDetails: DWORD (0x00000003)\""""},""eventdata"":{""ruleName"":""T1031,T1050"",""eventType"":""SetValue"",""utcTime"":""2020-04-24 12:52:17.702"",""processGuid"":""{df9fc3d3-e062-5ea2-0000-001053a80000}"",""processId"":""588"",""image"":""C:\\\\Windows\\\\system32\\\\services.exe"",""targetObject"":""HKLM\\\\System\\\\CurrentControlSet\\\\Services\\\\GoogleChromeElevationService\\\\Start"",""details"":""DWORD (0x00000003)""}}}","""Registry value set:
RuleName: T1031,T1050
EventType: SetValue
UtcTime: 2020-04-24 12:52:17.702
ProcessGuid: {df9fc3d3-e062-5ea2-0000-001053a80000}
ProcessId: 588
Image: C:\Windows\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\GoogleChromeElevationService\Start
Details: DWORD (0x00000003)"""
"Apr 24, 2020 @ 12:52:19.044",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\rdyboost\Diagnostics' checksum changed.
Old md5sum was: 'b94f00fb649e58278413ddb218687776'
New md5sum is : 'fa742e572a0ab3ad838cdc36f548a2e7'
Old sha1sum was: '4e632334dcf3fb5f87a71c66694dd9a1eb5fdbc7'
New sha1sum is : '4bd92b98f3142283ddbfa0b8875cc0e446f8a651'
",
"Apr 24, 2020 @ 12:52:16.828",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:16.812",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:16.376",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:16.359",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:16.171",3,"Software Protection service scheduled successfully",,"""Successfully scheduled Software Protection service for re-start at 2020-04-25T12:49:13Z. Reason: RulesEngine."""
"Apr 24, 2020 @ 12:52:14.499",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:14.468",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:13.985",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NlaSvc\Parameters\Cache' checksum changed.
Old md5sum was: '774e15e7baf44381d722db864ab890d7'
New md5sum is : '50e564d651df4ed3711c530cb99d635a'
Old sha1sum was: '469daffaef7546bd68eba730d238e5592de9f468'
New sha1sum is : '9f85b67a6c52e8312f838e2577ad0927a069eeda'
",
"Apr 24, 2020 @ 12:52:11.921",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: '5727fcd23252b0e1550791766fd7e652'
New md5sum is : 'fb276bc3254926295315efd699a5f0ce'
Old sha1sum was: '1a0a4badb9ef02d3f518064090d622844165b266'
New sha1sum is : 'b7489e940ba2819e44a06f3b6c370f25b1bd5a26'
",
"Apr 24, 2020 @ 12:52:08.092",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: '71d14a2d2a756124273e36b0738f8bba'
New md5sum is : '38693b218d0d1cfbe8aa44b2759f5e0a'
Old sha1sum was: 'c605e5d23f62dcaf8235115a11a8363912e96ea2'
New sha1sum is : '7e71bd80049f0a54f2ff10b576253aee0f92597e'
",
"Apr 24, 2020 @ 12:52:07.000",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: 'b4bce65b22aa4a519547960a719662c4'
New md5sum is : 'f7ff7d512129b2231c517bc98c61895a'
Old sha1sum was: '3dac9d974e4d5d554b03c5e46ca8acc22b4826b6'
New sha1sum is : '8ad4b6c00e384185ef05b860966037e851115017'
",
"Apr 24, 2020 @ 12:52:06.866",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3eb7b' was added.
",
"Apr 24, 2020 @ 12:52:06.851",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3eb7b\TriggerInfo\0' was added.
",
"Apr 24, 2020 @ 12:52:06.827",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3eb7b\Security' was added.
",
"Apr 24, 2020 @ 12:52:02.343",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: 'df3256a25e140f891367ef4f45e45db2'
New md5sum is : 'b85132a0856accdaadf483c328604620'
Old sha1sum was: 'e2d4eee52f1f6550a2d64d496dfa6aa49e9a8351'
New sha1sum is : '80153a47c9a0dbd7178a3eb90d1718ccd39c8805'
",
"Apr 24, 2020 @ 12:52:00.820",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\intelppm\Parameters\Wdf' checksum changed.
Old md5sum was: '5727fcd23252b0e1550791766fd7e652'
New md5sum is : '1de56df874baf63b698941817624f3e7'
Old sha1sum was: '1a0a4badb9ef02d3f518064090d622844165b266'
New sha1sum is : '5bae7edca7bfded5a62882384016c3e950aa6ada'
",
"Apr 24, 2020 @ 12:51:57.735",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HDAudBus\Parameters\Wdf' checksum changed.
Old md5sum was: '1f47b7195d8fed9969326bd01db47d06'
New md5sum is : '549d5493f97506ca14eb416c7cc49e4d'
Old sha1sum was: 'ee63ae916c97b341f744e3bde4a840cc48ac014b'
New sha1sum is : '48103930a75d17911b2f04f0163afdbadea50b74'
",
