timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:51:18.516",5,"Windows System error event",
"Apr 4, 2020 @ 13:51:13.876",4,"Summary event of the report's signatures",
"Apr 4, 2020 @ 13:51:13.642",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:51:12.905",4,"Summary event of the report's signatures",
"Apr 4, 2020 @ 13:51:01.485",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:49:37.551",3,"Service startup type was changed",
"Apr 4, 2020 @ 13:48:30.727",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '0dc86d77d124bb6b155bb549028af3b4'
New md5sum is : 'e6e13d44f114cbf40651f4cc8c31ee88'
Old sha1sum was: 'c722c6e745e275c7f0d1d2539e58c03fd22195fa'
New sha1sum is : 'b000a4bb6e1de3be2e0ed0a9091fdbb1e48cfa38'
"
"Apr 4, 2020 @ 13:48:30.706",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'abdaf1142070594f55c16de20de0ecca'
New md5sum is : 'a69fb129b52ee626db8a1d5a59398641'
Old sha1sum was: '7a54bab4683e307c96eebc64d5244ce6417b8b7c'
New sha1sum is : '1e15b79fa9e39915b1a950ed62876ff0507a20c6'
"
"Apr 4, 2020 @ 13:48:25.019",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_29d4d' was added.
"
"Apr 4, 2020 @ 13:48:25.004",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:48:17.957",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'cf2fddc0383906c94bd746fc28f1c4d5'
New md5sum is : 'dd94b5b765da707f26d26edcc0c09939'
Old sha1sum was: '2eaa7a7dac68d00dc822e249c351150d025f34a1'
New sha1sum is : '5ad085cb1feea21b232c593c0b65d6d7868a84ca'
"
"Apr 4, 2020 @ 13:48:17.950",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: 'd5462f300e2f617d362b4f3bb6d4ba99'
New md5sum is : '83049ce66cb3eebccaaf947e88b50216'
Old sha1sum was: '00a49d93f252e8a492de34d56cc2b2ba1662a192'
New sha1sum is : '84a8be37dcc1db73b38ac549419cf4bff6e2fffc'
"
