timestamp,"rule.level","rule.description","full_log","data.win.system.message"
"Apr 24, 2020 @ 10:32:12.630",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: '2d06df654a5682deb631986d5e100e06'
New md5sum is : '56964b8b919146ca6cc9ba7178dd83a5'
Old sha1sum was: 'fad4ff695b75db7b46758e17f337de0152aa22a4'
New sha1sum is : '2df5a62e483eea805585c37dca6c9f1db2862114'
",
"Apr 24, 2020 @ 10:32:12.614",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '0507a05dac0cb01533bea9c7856dd320'
New md5sum is : 'bab496d513226eb473b16a89f761c50b'
Old sha1sum was: 'be87be8572a241e55153e65f30b0e97ba6d756d2'
New sha1sum is : 'cb245448d7f93975cecec7d7b19de4fc8a559508'
",
"Apr 24, 2020 @ 10:32:07.179",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\TrustedInstaller' checksum changed.
Old md5sum was: '06f5c6f330af834dd08ce904d9ae7cc8'
New md5sum is : 'f5ea91602eb594fc2b4973f59a513fcb'
Old sha1sum was: '0cf4c4c19a1201e41b9deba273320298f4f97b50'
New sha1sum is : '7d45a8c18f8a7d6091a33c6ba0252b375312ca0c'
",
"Apr 24, 2020 @ 10:31:58.848",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: '5689c2dd6ed61a04cc389b6099c0aea5'
New md5sum is : '635e192cad83fcc0e1b59bc4458960b4'
Old sha1sum was: '64932df77c40a56e97edb3553ce359b3aaff132e'
New sha1sum is : 'e0e382309ad45d83861d26b3d86c0fab6345eb7b'
",
"Apr 24, 2020 @ 10:31:58.802",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: '5b91e535422785d7409df5362ceec530'
New md5sum is : '0447d0d52ee5a830c05fbee07043f258'
Old sha1sum was: '4e27ba555e6d427aef066e320154eafec1fd64e2'
New sha1sum is : 'c52421ca8edc9b41a95e22c437b67f0f199f288a'
",
"Apr 24, 2020 @ 10:31:44.644",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NcbService\NCBKapiNlmCache\4' was added.
",
"Apr 24, 2020 @ 10:31:35.863",3,"Software Protection service scheduled successfully",,"""Successfully scheduled Software Protection service for re-start at 2020-04-25T10:25:31Z. Reason: RulesEngine."""
"Apr 24, 2020 @ 10:31:32.598",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\GoogleChromeElevationService' checksum changed.
Old md5sum was: '8689e28cb67cdeb16cd0f213c561238e'
New md5sum is : '7623ffed143b7459169ba5677dbcbf32'
Old sha1sum was: '9a0d97c845587be7605acb61023bb439126934df'
New sha1sum is : '0a808618d3ad142d9f619d043ca088fdcfc9a841'
",
"Apr 24, 2020 @ 10:31:29.426",5,"The VSS service is shutting down due to idle timeout",,"""The VSS service is shutting down due to idle timeout. """
"Apr 24, 2020 @ 10:31:19.430",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\EventLog\Application\Chrome' checksum changed.
Old md5sum was: '5af3a18aae7113a12564a454973b2929'
New md5sum is : '22ece9a19429dc28f03e236b27d22f81'
Old sha1sum was: '0a00a2e519a32df06bc9533712e616c7a04e7c55'
New sha1sum is : 'd43b78e147f35d6834e93dded1d3c6395c512b09'
",
"Apr 24, 2020 @ 10:31:08.213",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '164ddf65a0229b0a5673d9643fd360a5'
New md5sum is : '9f0f9f207f2d810a4ae3c4b3cbab8c7c'
Old sha1sum was: 'abc03ba9189e8ab0e57d2f28ac2a9479d27eb1de'
New sha1sum is : '888bf3834cb974e6c6f05e415c259a853bc588a5'
",
"Apr 24, 2020 @ 10:30:32.951",3,"Software Protection service scheduled successfully",,"""Successfully scheduled Software Protection service for re-start at 2020-04-25T10:25:31Z. Reason: RulesEngine."""
"Apr 24, 2020 @ 10:30:26.085",3,"Windows Logon Success",,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x248
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."""
"Apr 24, 2020 @ 10:30:08.543",5,"Windows System error event",,"""The server {0134A8B2-3407-4B45-AD25-E9F7C92A80BC} did not register with DCOM within the required timeout."""
"Apr 24, 2020 @ 10:30:00.579",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Security\Policy\PolAdtEv' checksum changed.
Old md5sum was: '9d15aff4d26f802c3c4d3d74a00d8d4d'
New md5sum is : 'b40de87500ee3eed90c2ce3ce8c7946f'
Old sha1sum was: '11f3afa3902d0fadfcc52e4c051995f536c7d4e2'
New sha1sum is : '2f6e6dd0efd148b1c11d33c91e9cea4a97a84792'
",
"Apr 24, 2020 @ 10:29:36.027",3,"Software Protection service scheduled successfully",,"""Successfully scheduled Software Protection service for re-start at 2020-04-25T10:25:34Z. Reason: RulesEngine."""
"Apr 24, 2020 @ 10:29:34.213",5,"SCA summary: Benchmark for Windows audit: Score less than 80% (68)",,
"Apr 24, 2020 @ 10:29:31.088",5,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from failed to 'not applicable'",,
"Apr 24, 2020 @ 10:29:04.455",3,"Service startup type was changed",,"""The start type of the Windows Modules Installer service was changed from auto start to demand start."""
"Apr 24, 2020 @ 10:28:43.391",8,"Windows Audit Policy changed",,"""System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		Object Access
	Subcategory:		Handle Manipulation
	Subcategory GUID:	{0cce9223-69ae-11d9-bed3-505054503030}
	Changes:		Success Added"""
"Apr 24, 2020 @ 10:28:43.375",8,"Windows Audit Policy changed",,"""System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		Object Access
	Subcategory:		File System
	Subcategory GUID:	{0cce921d-69ae-11d9-bed3-505054503030}
	Changes:		Success Added"""
"Apr 24, 2020 @ 10:28:33.781",5,"File added to the system.","File '[x64] HKEY_USERS\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\RunOnce' was added.
",
"Apr 24, 2020 @ 10:28:33.752",5,"File added to the system.","File 'HKEY_USERS\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\RunOnce' was added.
",
"Apr 24, 2020 @ 10:28:33.475",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '271f59daf9ca28fbeb0bd234897e1662'
New md5sum is : '1af7f0914012f801bdabc07119bd84db'
Old sha1sum was: 'e8d6ecabf76ed97cd87dc8593f64cd69ec8ec7a2'
New sha1sum is : '98d0a499a8ec59bdfd79d0750a971a939fa5e3a2'
",
"Apr 24, 2020 @ 10:28:32.194",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '47f9a8fc035cc80b23dfd8be4d23cda6'
New md5sum is : '1e9409baa8b68f8d5dfa081e75151003'
Old sha1sum was: '592c18db00c7cbd34e9537e069e1bf1ae084bc9d'
New sha1sum is : '25555a4f57a7b2144caabaf450eb56fe7119a8c0'
",
